BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t1398,11967.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11967.0
t1399,13892.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13892.0
t1400,14909.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14909.0
t1401,15021.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15021.0
t1402,15047.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15047.0
t1403,15090.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15090.0
t1404,14972.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14972.0
t1405,14789.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14789.0
t1406,14745.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14745.0
t1407,14707.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14707.0
t1408,14923.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14923.0
t1409,16090.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16090.0
t1410,17024.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17024.0
t1411,16929.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16929.0
t1412,16555.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16555.0
t1413,15960.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15960.0
t1414,18129.023079566952,0.0,-3186.0230795669527,0.0,0.0,0.0,0.0,0.0,0.0,-14943.0
t1415,13555.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13555.0
t1416,12286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12286.0
t1417,11467.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11467.0
t1418,11058.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11058.0
t1419,10887.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10887.0
t1420,10887.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10887.0
t1421,11199.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11199.0
t1422,12282.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12282.0
t1423,14219.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14219.0
t1424,15127.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15127.0
t1425,15125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15125.0
t1426,15018.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15018.0
t1427,14964.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14964.0
t1428,14852.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14852.0
t1429,14629.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14629.0
t1430,14554.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14554.0
t1431,14425.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14425.0
t1432,14595.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14595.0
t1433,15719.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15719.0
t1434,16734.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16734.0
t1435,16799.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16799.0
t1436,16469.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16469.0
t1437,15825.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15825.0
t1438,14781.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14781.0
t1439,13370.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13370.0
t1440,12072.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12072.0
t1441,11235.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11235.0
t1442,10810.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10810.0
t1443,10602.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10602.0
t1444,10616.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10616.0
t1445,10957.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10957.0
t1446,12045.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12045.0
t1447,13944.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13944.0
t1448,14911.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14911.0
t1449,15150.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15150.0
t1450,15217.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15217.0
t1451,15164.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15164.0
