Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
t22,0.0,0.0,-42.53048366490535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329325737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.03051062001234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.03044808546659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.03022264783862,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,-42.53048366491355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329333727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.31085688574797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.31075308534932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.31058193763503,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,-42.53048366492173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329339404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.67111052532595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.67118260804788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.671041625136006,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,-42.53048366492992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329345073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.76524977431306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.76533795556868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.765237375355476,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,-42.53048366493811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.350759413154314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.35084291142516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.35076052335375,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,-42.5304836649463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329356388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.63725990769096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.63731678298092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.63726343721956,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,-42.53048366495448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.530483293620364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.290623682395236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.2906630080099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.29062333598112,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,-42.53048366496267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.5304832936768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.95725476903812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.9572754753657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.95724799589248,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,-42.530483664970866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329373317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.32561235237155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.325598799692294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.3255913798976,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,-42.53048366497905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048329378947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.99260720403334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.9925754874001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.99257733563781,0.0,0.0,0.0,0.0,0.0,0.0
