Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
t1202,0.0,450.05123490556565,183947.489560709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.50200752882449,3233.7022317985675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.63462817647323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015633832046108752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157428202893403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015152237658385692,0.0,0.0,0.0,155.27005387868402,44.30732741189913,22.005124906574157
t1203,0.0,450.6479190757678,183122.47906480994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.52908699954183,3214.828871248232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.36705090716285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015153555116400938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001528654224055433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014799585902723514,0.0,0.0,0.0,172.74857007257955,49.461726219708375,24.15032758916965
t1204,0.0,451.24460324597015,182626.27300537605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.556166470259264,3195.974547579736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.43128046128888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001402666227525679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014194018433188565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001380534864286299,0.0,0.0,0.0,201.8894146674184,57.771801566831094,27.857765335615536
t1205,0.0,451.8412874161726,182221.1467489647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58324594097672,3177.109182442708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.08196402969858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010811485548201947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001109111071698373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010833853100180658,0.0,0.0,0.0,241.70253734769656,69.1859984308162,33.12594327123886
t1206,0.0,452.4379715863744,180917.13223604558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.61032541169399,3158.0375617498003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.676980118408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.468892061610374e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.323200602238403e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.305174073631584e-5,0.0,0.0,0.0,298.45996577479445,85.22996568109878,40.67996570896745
t1207,0.0,453.0346557768751,180917.13223573143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.637404902677346,3158.0375614228496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6769709725675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9781918314314998e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6266018515680633e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6258529760354744e-5,0.0,0.0,0.0,312.8899845842329,89.3499845082381,42.63998451758698
t1208,0.0,453.63134000993455,182448.22194837098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66448443616902,3184.8826760610777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.6808402797264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.276107098002387e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243217644956266e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2433256317630948e-5,0.0,0.0,0.0,337.33998687794974,96.33998682126911,45.96998682138941
t1209,0.0,454.2280242964538,183979.3116738469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.69156402300877,3211.7278035367312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.1349202308174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.4221354996221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.25694995330008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.1557049700245,0.0,0.0,0.0,212.16275970717973,50.708647997684444,20.804460657426034
t1210,0.0,454.8247085829739,185510.4013993229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.71864360985448,3238.5729310124157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.83011074090777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.5898151077205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.99696299352763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.11653450710537,0.0,0.0,0.0,172.75943782094083,43.66393178079817,18.83964369317785
t1211,0.0,455.4213928694943,187041.49112479892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.745723196701974,3265.4180584881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.54796706225568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.07640224878395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0659312176123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.4022928139806,0.0,0.0,0.0,160.001563280364,42.65709739977502,20.13181399170953
