Segment,1,2,3,4,Total
t126,5.584795770752614e-9,6.219137650182145e-9,1.0322957949014724e-8,3.034999115599553e-8,5.2476882525945014e-8
t127,5.604957803785605e-9,6.2441502245763105e-9,1.0392055168774761e-8,3.0955119660887746e-8,5.319628285802442e-8
t128,5.6126650525159065e-9,6.253717092607142e-9,1.0418580960567689e-8,3.119167446622315e-8,5.347663757191388e-8
t129,5.612665640611793e-9,6.253717824482552e-9,1.0418582994303111e-8,3.1191693030686466e-8,5.347665949008392e-8
t130,5.612665950639607e-9,6.253718210521863e-9,1.0418584067457388e-8,3.1191702873100456e-8,5.3476671101719314e-8
t131,5.5903430933680556e-9,6.2260175087312045e-9,1.0341926983920723e-8,3.0514547924507845e-8,5.267283551052783e-8
t132,5.60495787482989e-9,6.244150323123461e-9,1.0392055454878028e-8,3.095512416651583e-8,5.319628781934721e-8
t133,5.604957505162719e-9,6.244149863538739e-9,1.0392054180653839e-8,3.095511282952887e-8,5.319627437888417e-8
t134,5.590341597566679e-9,6.226015652729243e-9,1.0341921861163232e-8,3.051450321681584e-8,5.267278232827499e-8
t135,5.590342163618733e-9,6.226016353858942e-9,1.0341923795089965e-8,3.051451986136852e-8,5.267280217393616e-8
t136,5.604957897789093e-9,6.2441503495686355e-9,1.0392055525808317e-8,3.095512437595508e-8,5.3196288149121124e-8
t137,5.613213956538561e-9,6.254398554920948e-9,1.0420472500415088e-8,3.120863546561118e-8,5.349672047748577e-8
t138,5.613213939875254e-9,6.2543985372370546e-9,1.0420472454900292e-8,3.120863560890693e-8,5.349672054091953e-8
t139,5.613213857167826e-9,6.254398433584419e-9,1.0420472165674891e-8,3.120863283301043e-8,5.349671728943756e-8
t140,5.613213183214464e-9,6.254397594561487e-9,1.0420469833443184e-8,3.120861148712962e-8,5.349669209834876e-8
t141,5.604957878445201e-9,6.244150324448781e-9,1.0392055455412923e-8,3.0955123599753336e-8,5.319628725806024e-8
t142,5.604957430687103e-9,6.244149764501685e-9,1.0392053899075318e-8,3.095510913282063e-8,5.319627022708474e-8
t143,5.584794524272328e-9,6.219136112982665e-9,1.0322953725165155e-8,3.0349956456203564e-8,5.247684081862371e-8
t144,5.578102022349118e-9,6.2108380741822685e-9,1.0300111351361893e-8,3.015335283919526e-8,5.224240428708854e-8
t145,5.578101727892743e-9,6.210837703292763e-9,1.0300110325301829e-8,3.0153343100411586e-8,5.224239285689892e-8
t146,5.578101215703788e-9,6.210837064520844e-9,1.0300108565211671e-8,3.015332737252569e-8,5.2242374217962e-8
t147,5.57810094896158e-9,6.210836731684081e-9,1.0300107647703571e-8,3.015331912104563e-8,5.224236444939486e-8
t148,5.578100931752472e-9,6.210836709516438e-9,1.0300107585770403e-8,3.0153318425053515e-8,5.2242363652092826e-8
t149,5.5781015306289914e-9,6.210837452815146e-9,1.0300109630612718e-8,3.015333605104056e-8,5.224238466509741e-8
t150,5.578101907401173e-9,6.2108379233481155e-9,1.0300110927833954e-8,3.0153347682767385e-8,5.2242398441350627e-8
t151,5.591502704409401e-9,6.227455843071137e-9,1.0345896210065922e-8,3.054912550841273e-8,5.2713980265959185e-8
t152,5.6132138910258405e-9,6.254398456714632e-9,1.0420472210125951e-8,3.120863004108858e-8,5.3496714598955004e-8
t153,5.5781017173390015e-9,6.210837704061922e-9,1.030011034637048e-8,3.015334596224087e-8,5.224239573001227e-8
t154,5.501612606863794e-9,6.1161590408652205e-9,1.0042301218579942e-8,2.8045576954037963e-8,4.9705649820346915e-8
t155,5.507306814497657e-9,6.123197232958226e-9,1.0061289735275337e-8,2.8194180330546057e-8,4.9885974113277275e-8
t156,5.475377113137681e-9,6.083752289822294e-9,9.955230969348577e-9,2.7376873691507593e-8,4.889123406381615e-8
t157,5.475377013139352e-9,6.083752164623823e-9,9.95523063269765e-9,2.737687094911349e-8,4.889123075957432e-8
t158,5.4753770122813686e-9,6.083752161600234e-9,9.955230622316022e-9,2.73768705674105e-8,4.889123036360812e-8
t159,5.4753770136826506e-9,6.083752162298973e-9,9.955230622757834e-9,2.737687037589669e-8,4.889123017463615e-8
t160,5.475377072904654e-9,6.08375223579834e-9,9.955230819382148e-9,2.737687184519331e-8,4.889123197327845e-8
t161,5.47537765504932e-9,6.083752958293278e-9,9.955232757946929e-9,2.737688693882974e-8,4.889125031011927e-8
t162,5.84365898943028e-9,6.541844829473688e-9,1.124359302188874e-8,3.9972794367454067e-8,6.360189120824677e-8
t163,5.713469403656743e-9,6.3791204880421645e-9,1.0771348755619209e-8,3.4582499974931873e-8,5.744643862224999e-8
t164,5.613215353201895e-9,6.254400285953354e-9,1.0420477314160095e-8,3.120867807634601e-8,5.3496771029661356e-8
t165,5.613213957129567e-9,6.254398550117918e-9,1.0420472482207027e-8,3.1208634057753003e-8,5.3496719047207514e-8
t166,5.604957226345305e-9,6.244149508370034e-9,1.0392053187564776e-8,3.095510214017871e-8,5.3196262062458826e-8
t167,5.590800931371356e-9,6.226585378297417e-9,1.0343493923970907e-8,3.05281907164656e-8,5.268907095010528e-8
t168,5.590800884448982e-9,6.226585313927492e-9,1.0343493738556469e-8,3.052818790125738e-8,5.268906783819032e-8
t169,1.1154588912740364e-8,1.2419673679357109e-8,2.0594715632410345e-8,6.025949693952426e-8,1.0442847516403208e-7
t170,1.1121227197795751e-8,1.2378329493327762e-8,2.0481278521207668e-8,5.9298519942444296e-8,1.0327935515477547e-7
t171,1.1154630541581403e-8,1.2419725267337878e-8,2.059485745973579e-8,6.026070683421231e-8,1.0442992010286738e-7
t172,1.1154630455522951e-8,1.2419725158428763e-8,2.059485715719375e-8,6.026070376626589e-8,1.0442991653741136e-7
