Constraint,CapRes_1
t138,1.79882824519117e-9
t139,1.8059094202533809e-9
t140,1.7875202191569363e-9
t141,1.5573335443499374e-9
t142,1.3022578730642472e-9
t143,1.1297209042569897e-9
t144,1.0505238441753302e-9
t145,1.0340512142148971e-9
t146,1.0226344360784086e-9
t147,1.0175376722568123e-9
t148,1.0138162325474345e-9
t149,1.0093452149865256e-9
t150,1.0123544989936683e-9
t151,1.1150781042872013e-9
t152,1.1277299721362509e-9
t153,1.130955719799763e-9
t154,1.1152362270662777e-9
t155,1.08219718064328e-9
t156,1.0173113322449628e-9
t157,7.618620791327794e-10
t158,7.209305408610055e-10
t159,7.595752259302743e-10
t160,9.546345986376648e-10
t161,1.207229881424151e-9
t162,1.8392263391098692e-9
t163,1.8511522375272972e-9
t164,1.8486400922802875e-9
t165,1.839501429798701e-9
t166,1.3988362658381425e-9
t167,1.2783291292837734e-9
t168,1.2255304495155575e-9
t169,2.181954009309043e-9
t170,2.165761581484618e-9
t171,2.119214108197533e-9
t172,2.1194636220505485e-9
t173,2.1084657250865456e-9
t174,2.1436647239691202e-9
t175,2.1681618061303905e-9
t176,2.0908302889897876e-9
t177,1.5578292818256086e-9
t178,1.3741188095777757e-9
t179,1.2599664925285931e-9
t180,1.3023173376395074e-9
t181,1.2902036054278288e-9
t182,1.3010799748412268e-9
t183,1.297312664222608e-9
t184,1.3814709154551055e-9
t185,1.8498833687474303e-9
t186,2.9286265173855574e-9
t187,4.455042381771748e-9
t188,4.3719854564972e-9
t189,4.282379554119197e-9
t190,3.807920682675377e-9
t191,3.3675191302779885e-9
t192,2.849437809973344e-9
t193,2.4513818845667793e-9
t194,2.322893989089026e-9
t195,2.2019023013103727e-9
t196,2.2048810380903403e-9
t197,2.214627025187803e-9
t198,2.2528222667516726e-9
t199,2.3249942899043516e-9
t200,2.3716073288588706e-9
t201,2.1496968536541894e-9
t202,1.4846078993357455e-9
t203,1.1922682549460342e-9
t204,1.1786201541108784e-9
t205,1.1239694516810296e-9
t206,1.123332544508185e-9
t207,1.1097757535260209e-9
t208,1.1603889063103715e-9
t209,1.469393673514901e-9
t210,2.4733434334246616e-9
t211,3.769114670513274e-9
t212,4.216054111206047e-9
t213,3.6903972630392413e-9
t214,3.095380890877508e-9
t215,2.8765793329362018e-9
t216,2.7560123515287247e-9
t217,2.6554612712791702e-9
t218,2.632684167364496e-9
t219,2.6325725968001425e-9
t220,2.63179712371369e-9
t221,2.7832679773768363e-9
t222,3.4581045524755e-9
t223,4.159615700732591e-9
t224,3.916893949304983e-9
t225,2.6701125343908855e-9
t226,2.1302905615669486e-9
t227,1.8861876041236014e-9
t228,1.7822877114203396e-9
t229,1.636078618751192e-9
t230,1.9178898559056165e-9
t231,2.2259813059856305e-9
t232,2.3256559570934327e-9
t233,2.657875877979986e-9
t234,3.2443172871923426e-9
t235,3.6266091037797094e-9
t236,3.5908646253014204e-9
t237,3.3191924692905024e-9
t238,3.1007428458361104e-9
t239,2.854873219625667e-9
t240,2.480891374341612e-9
t241,2.3444831987271237e-9
t242,2.2842020270474563e-9
t243,2.2952999944553146e-9
t244,2.296855501888322e-9
t245,2.3007515674928194e-9
t246,2.400632504689151e-9
t247,2.634236703440795e-9
t248,2.5397935545620837e-9
t249,1.97698060757327e-9
t250,1.4300911987749436e-9
t251,1.4085742442992997e-9
t252,1.4886914668412054e-9
t253,1.2552345916108064e-9
t254,1.1938067540585011e-9
t255,1.2001447500182414e-9
t256,1.3364191558997617e-9
t257,1.897847595791587e-9
t258,2.5937493493372243e-9
t259,3.272957000444356e-9
t260,3.146726699233311e-9
t261,3.0422188298078218e-9
t262,2.943195817190201e-9
t263,2.605300419176914e-9
t264,2.3709424111582926e-9
t265,2.2435034308772566e-9
t266,2.1673699800639333e-9
t267,2.110836938005748e-9
t268,2.116057493103098e-9
t269,2.1569906257895317e-9
t270,2.2292050657182796e-9
t271,2.311192097061998e-9
t272,2.313003531346148e-9
t273,2.2281519865591325e-9
t274,1.706782168028936e-9
t275,1.4363437981797862e-9
t276,1.3004199226480115e-9
t277,1.204710865949598e-9
t278,1.1687982150813194e-9
t279,1.1306720419426585e-9
t280,1.158856249854392e-9
t281,1.3721005299745941e-9
t282,2.292970347311577e-9
t283,3.0121320909877194e-9
t284,3.435815593355244e-9
t285,3.367420838671246e-9
t286,3.2384422464420345e-9
t287,2.9637564533741688e-9
t288,2.572901272367869e-9
t289,2.591316685356438e-9
t290,2.678194206665973e-9
t291,2.740618153261259e-9
t292,2.7620905690622115e-9
t293,2.707463706816409e-9
t294,2.735014347124501e-9
