Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t1084,106.06199956191452,76.90602783175468,882.2704940175965,1363.444295642418,6.638851846493831e-6,3.0815777046332984e-6,62.70399738402313,0.5999995453519789,8.804240062314187e-6,29.999999828684004,2.9305799034844124,0.0,0.0,27.247999554819216,12.18599983175514,15.342762196712311,3488.7039953043513,3.914449494607029e-6,53.81599963440191,2.351955203798475e-5,1975.736864964129,0.19954990351388344,0.0,0.0,24.949999567394727,164.76157880017763,2.4375793569182695e-6,1114.0999918964826,163.4999976927835,26.91433990348223,0.0,0.0,0.0,5.7623699040007134e-5,4.362362924855092e-6,2.186335906287908e-6,0.0,93.53575624754232,0.0,58.098877378806726,0.0,875.358394554884,9.62844266815329e-6,2.1863351025123882e-6,0.0,51.214437938827004,0.0,0.0,0.0,870.3618167256702,9.508113521705871e-6,2.0722583794994733e-6,0.0,0.0,0.0,53.526075590450844,14.914044173042678,7.155765713539373,11616.541777251794
t1085,106.0619995619145,76.90602783175468,869.6784152556513,1285.6854310415742,6.17976238489985e-6,3.0183669773171263e-6,62.70399717495677,0.5999995453519789,8.79262168169692e-6,29.999999828684004,1.7350199034874272,0.0,0.0,27.24799955481922,12.185999831755138,15.360382649275296,3488.7039949714544,3.719021182747139e-6,53.81599963327479,2.3225235293230245e-5,1975.7368649488828,0.3574999035020919,0.0,0.0,24.949999567394727,171.95248869747854,2.3264729206322446e-6,1114.0999911262302,163.49999741145524,42.51512990347955,0.0,0.0,0.0,5.752610249030943e-5,4.34945841344932e-6,3.665371301536551e-6,0.0,67.8517364744161,0.0,195.76673427882966,0.0,875.3583944555683,9.614212279201316e-6,3.6653679733417175e-6,0.0,86.39669407905687,0.0,0.0,0.0,870.3618166263543,9.493882207267839e-6,3.422233385370302e-6,0.0,0.0,0.0,41.02752892598748,11.573849681189945,5.55136942918736,11677.685501291078
t1086,106.06199956191487,76.9060278317548,1510.5886414326692,1249.9736382388878,5.57784582870699e-6,2.9527792582098425e-6,62.703996923322485,0.5999995453519789,8.755629532683907e-6,29.999999828684114,5.452919903480012,0.0,0.0,27.247999554819604,12.18599983175521,16.54009576624369,3488.703994595274,3.490298574792378e-6,53.81599963261867,2.289675809615126e-5,1975.7368649326802,0.19434990351461645,0.0,0.0,24.9499995673951,171.66969386965934,2.200894713495436e-6,1114.0999901725454,163.49999699050608,56.329569903477235,0.0,0.0,0.0,5.741535408839131e-5,4.336899037048255e-6,6.8778140873399274e-6,0.0,97.40879351920402,0.0,250.49262689883895,0.0,875.3583943480899,9.600440948868484e-6,6.877801315210072e-6,0.0,54.6659026508321,0.0,8.937625501442736e-10,0.0,870.3618165188752,9.480109887360068e-6,6.108180909239758e-6,0.0,0.0,0.0,23.027102356817895,7.461398284520642,3.68095393631518,12329.718913071749
t1087,106.06199944170798,76.90602780349786,1.2087818572500364e-6,1.2189165973816086e-5,4.436487844149502e-6,2.75754901964925e-6,62.70399582747323,0.5999995453519789,7.963762126583114e-6,29.999999800435155,5.292539895105777,0.0,32.691719800528595,27.247999430808992,12.185999803491457,1.208765734238591e-6,3150.8900740691047,3.0608241024199674e-6,53.815999441698835,1.790415530737047e-5,1975.7368562700206,0.07409989519392148,0.0,0.0,24.949999452392003,155.67696980975415,1.9941261803113356e-6,430.04259970693244,163.49999570379734,49.184169895103786,0.0,0.0,0.0,4.666467273732796e-5,4.1469863808529745e-6,2.1467536143452e-6,0.0,58.65670472967454,277.8132369636564,883.6459259706961,0.0,735.3010508990599,9.107063663987975e-6,2.14672230961876e-6,0.0,41.251015147502734,4482.85696416192,3.60938761299965e-8,0.0,731.1039255225189,8.986731772738937e-6,3.0379697537102793e-6,0.0,0.0,0.0,82.07999775910417,23.43999778168202,11.18999777527492,13684.899991300104
t1088,7.013871414906288e-6,43.75280398822928,1.2026776305760527e-7,8.869320726491526e-6,3.3604590729185547e-6,2.477890136193251e-6,30.599550735875678,0.5999995453519789,6.076079267332665e-6,17.03861955821941,5.146739778771683,0.0,71.40004056350712,6.629569994673826e-6,9.885345282878832,1.202628517360484e-7,1179.181950511944,2.557161706387564e-6,53.81599918034263,1.6789950755587585e-5,1481.8026403670733,0.06369977915667757,0.0,5.201277478987442e-7,7.351577593410718e-6,132.26906648495466,1.704628210498719e-6,430.0425962911792,113.95949664131804,62.164979778762934,0.0,0.0,0.0,1.1843471000013505e-5,3.881014201463797e-6,4.328480404360786e-7,0.0,43.42482863960504,999.0463169432878,1413.8738510702017,0.0,175.07167926364292,8.680518839106603e-6,4.329209666687839e-7,0.0,0.0,11211.544713503492,4.679149437560982e-8,0.0,174.07236369779972,8.560185707947268e-6,3.5227517773021223e-7,0.0,3.1487430201723956e-7,4.087091443902292e-8,269.68388323653323,66.82722949977148,31.25697950489287,18016.52547202373
t1089,6.242492421374955e-6,43.53520012415144,1.2026808639383315e-7,8.715047688753774e-6,3.2302370205417136e-6,2.4397945917589075e-6,30.599550666858384,0.5999995453519789,5.017782101127071e-6,17.024774613092237,6.765119778768017,0.0,162.06654324115306,5.910386750453353e-6,8.049374044897364,1.2026317657332052e-7,1179.1819504550863,2.4710310700812503e-6,53.81599918190826,1.6700635486283187e-5,987.8684330263173,0.2320497788929363,0.0,1.019717622829651e-6,6.538806246483222e-6,115.67018603465432,1.6423694470506026e-6,430.04259619347744,113.95949647537184,102.06012977875606,0.0,0.0,0.0,1.180906317758786e-5,3.874028254124758e-6,1.2168253108785698e-5,0.0,76.28102207827465,1245.3332984314607,708.8974300647635,0.0,175.07167916934142,8.673004030385956e-6,1.2168228377800108e-5,0.0,0.0,12488.84450556346,3.646588656435872e-8,0.0,174.07236360349813,8.552670220685447e-6,1.2168229687709075e-5,0.0,8.402872376192916e-7,0.0,92.52401922153689,32.21590067140855,15.568124145972583,18260.27987634751
t1090,6.2720286554408465e-6,38.44030944081018,1.2026768632552877e-7,8.646759371221762e-6,3.167000210608391e-6,2.416855455213345e-6,30.599550628593875,0.5999995453519789,4.918993752459223e-6,16.848559312138,2.5514997787811677,0.0,180.1339232240535,5.9323310171407245e-6,7.084747634668701,1.2026287891057916e-7,1179.181950422919,2.4245061720867126e-6,53.81599918472066,1.6653259024744658e-5,987.8684330012029,0.2898997788701083,0.0,1.4519454865037081e-6,6.568644937466554e-6,104.07157766476074,1.6061085729464555e-6,430.0425961445415,113.9594963998124,117.78000977875328,0.0,0.0,0.0,1.1801275325231173e-5,3.8707556351769295e-6,1.2168672479314734e-5,0.0,40.81167627505178,1045.692548163299,523.9219981022261,0.0,175.07167916029775,8.669423035870343e-6,1.2168644729003501e-5,0.0,0.0,13959.370669221636,6.372365468874857e-8,0.0,174.07236359445443,8.549088621587024e-6,1.216862951284825e-5,0.0,7.886837380897346e-7,0.0,91.59774208776254,28.30468157029588,13.117171729637507,19315.229212392504
t1091,6.2707881587161754e-6,44.510966199531026,1.202677025136687e-7,8.612012437570872e-6,3.134685726204301e-6,2.4045904607864954e-6,30.599550607377164,0.5999995453519789,4.9109965129968e-6,16.84972498915109,5.598719778770505,0.0,219.09546873290174,5.931275397939182e-6,6.616361067612738,1.2026289531264752e-7,1179.1819504050598,2.400451249576974e-6,53.815999188884966,1.6626438633023745e-5,987.8684329980523,1.2629497787964061,0.0,1.7391735505250935e-6,6.5673970024945e-6,97.37301371650143,1.5876843480719656e-6,430.0425961181917,113.95949636055771,170.77505977874435,0.0,0.0,0.0,1.1797135734912851e-5,3.870968024120405e-6,1.2168802383415357e-5,0.0,48.63424488123878,1220.3129347071676,327.12343803228094,0.0,175.07167915526114,8.669509387919953e-6,1.2168773024963842e-5,0.0,0.0,14719.65686295199,1.0105395885273231e-7,0.0,174.07236358941776,8.549174395457206e-6,1.216875900402061e-5,0.0,1.1232328571023008e-6,0.0,86.63128509812711,26.56209605034307,12.272451487891438,20148.487776262635
t1092,6.270811891958246e-6,46.41533104314127,1.2026775486356701e-7,8.59676738920333e-6,3.1205865276158537e-6,2.401113135653267e-6,30.599550598240693,0.5999995453519789,4.909436187675652e-6,16.855637835583444,11.37239977875967,0.0,237.509040525783,5.931508267163377e-6,5.533516478814367,1.2026291457941127e-7,1179.1819503976208,2.3907406750064405e-6,53.81599919456981,1.6613031178271006e-5,987.8684329963481,0.9405497788042273,0.0,1.7760486889362944e-6,6.567339975283003e-6,95.20401283031791,1.580953765816999e-6,430.042596106436,113.95949634337569,226.15190977873507,0.0,0.0,0.0,1.179624127376757e-5,3.87467961821254e-6,1.2168879127605472e-5,0.0,94.90803060942117,1480.7963564183492,103.50231642717533,0.0,175.07167915372486,8.673269273634448e-6,1.216885213377419e-5,0.0,0.0,15181.69382749292,4.475990196823696e-8,0.0,174.07236358788143,8.552933687759683e-6,1.2168836772644797e-5,0.0,1.6712197699067492e-6,0.0,91.4470291489186,26.986317862761023,12.438924149120776,20776.967399600693
t1093,6.270857450651747e-6,44.114868721537455,1.202679780204658e-7,8.597267809572227e-6,3.1224844032387807e-6,2.405942010003783e-6,30.599550599457604,0.5999995453519789,4.909270494931089e-6,16.927517841525507,8.135639778765304,0.0,296.4954890185649,5.931363606959742e-6,6.544832827961801,1.202631080433265e-7,1179.1819503992988,2.394680237398719e-6,53.81599920203319,1.6610339952559957e-5,987.8684329960449,0.765699778811168,0.0,1.7350175088081144e-6,6.567431574872749e-6,101.24473692619571,1.5866633702078321e-6,430.0425961065928,113.95949634374193,216.98197977873664,0.0,0.0,0.0,1.1798564648413214e-5,3.8821465080594035e-6,1.216905276683493e-5,0.0,83.06414341399481,1759.0481148117647,164.67618936337377,0.0,175.0716791555713,8.680981646302375e-6,1.2169022736799942e-5,0.0,0.0,15183.061258535789,4.964279474284612e-8,0.0,174.07236358972781,8.560645406219538e-6,1.2169010531484738e-5,0.0,1.4621476738857195e-6,0.0,100.60596800663681,28.461002292309256,13.173472972939827,21168.513113319786
t1094,6.270640223123011e-6,37.93491327669012,1.2026796329457913e-7,8.613252205971387e-6,3.139633062906486e-6,2.419751749357606e-6,30.599550611245437,0.5999995453519789,4.910479270908471e-6,16.745019252167,6.823439778767919,0.0,352.9264993695408,5.931344738069168e-6,7.115633883594124,1.2026305415028462e-7,1179.181950410418,2.4117734886701508e-6,53.815999211669066,1.6617881112839236e-5,987.868432997144,0.7364497788126867,0.0,1.7117283181202667e-6,6.5673113084908985e-6,107.37649674786321,1.6038990410046377e-6,430.04259611870685,113.95949636174423,228.05734977873485,0.0,0.0,0.0,1.1804304402765275e-5,3.893929607836722e-6,1.2169055451937745e-5,0.0,69.58597969152927,1886.0577953180632,306.17667618148664,0.0,175.07167916101602,8.693271918595221e-6,1.2169020495120932e-5,0.0,0.0,15245.960759311769,7.721330399418936e-8,0.0,174.0723635951725,8.572934901163394e-6,1.2169011938882654e-5,0.0,1.6702849135086729e-6,0.0,116.58106878091668,31.44322900937642,14.728597350828977,21573.462107179857
t1095,6.276195269062029e-6,43.3773816591305,1.2026776447438715e-7,8.649621501997505e-6,3.177895862474938e-6,2.4447274805311322e-6,30.59955063591334,0.5999995453519789,4.9176879438011775e-6,16.830994061563906,8.995859778763855,0.0,362.8870744126098,5.935277211854292e-6,8.047200722371112,1.2026281281763103e-7,1179.1819504333357,2.447562969254219e-6,53.81599922409589,1.6637057058196425e-5,987.8684329996934,0.9379497788044379,0.0,1.6438019854193105e-6,6.573011848467823e-6,117.47751198455101,1.638436160148293e-6,430.0425961458491,113.95949640216443,277.59878977872665,0.0,0.0,0.0,1.1814102820810035e-5,3.911052883051835e-6,1.216888700979588e-5,0.0,99.84250240693414,1934.5049248844016,371.9202419786848,0.0,175.07167917070225,8.711302933254868e-6,1.2168968610099811e-5,0.0,130.6112018029122,15177.2895844656,6.237664786461296e-8,0.0,174.07236360485865,8.590964912028299e-6,1.2168961669982846e-5,0.0,2.7107212143728417e-6,0.0,145.94772072480114,38.302513231848174,18.24636004508388,21898.030012767897
t1096,6.1485625592806145e-6,60.79422773204061,1.202669443838391e-7,8.71986388035358e-6,3.2488635601545233e-6,2.4859917207912897e-6,30.599550679713186,0.5999995453519789,5.008221117273781e-6,16.55307135611596,13.734359778756255,0.0,322.66347255523493,5.849620560514655e-6,9.854156459454114,1.2026194403001464e-7,1179.1819504733983,2.511119889419632e-6,53.815999240339195,1.66721639196581e-5,987.868433003796,1.1641497787986732,0.0,1.3940015508789092e-6,6.441950379670396e-6,132.36979648850186,1.6963170962155251e-6,430.0425961960838,113.95949647995688,373.70441977871076,0.0,0.0,0.0,1.182897008482079e-5,3.93536632584163e-6,1.216880127540683e-5,0.0,178.30941222266716,1919.7076834752459,621.1193102278074,0.0,175.07167918572773,8.737227379288225e-6,1.2168819527544596e-5,0.0,257.97049329295163,14779.687191184095,4.3017470707722985e-8,0.0,174.07236361988402,8.616887925168359e-6,1.216881420541544e-5,0.0,3.7372393549141262e-6,0.0,182.24866869982705,58.61158705670639,30.590167077550785,22104.29436941106
