BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t408,9187.373616092302,1553.7613054069748,-1.2808402809493163e-5,105.22999073585815,-218.3648994781377,4.585382574152276e-8,5.5537681506911485e-9,0.0,0.0,-10628.0
t409,9144.426675861467,671.7484112698012,-1.2671376603359542e-5,97.47999285616591,-67.65506736746576,4.5853813812626765e-8,5.553767829310181e-9,0.0,0.0,-9846.0
t410,9602.071553851403,1.295558611955511e-5,-67.8079636981111,92.35996973363599,-298.62357289358806,4.5530978378859704e-8,5.543844446564111e-9,0.0,0.0,-9328.0
t411,7123.795920149302,1856.3941005365812,-8.867082541703764e-6,89.80999442885509,-6.830853075923453e-6,4.597224416377512e-8,5.5573748853492145e-9,0.0,0.0,-9070.0
t412,8946.476455437669,1.3951492346877392e-5,-4.899343047195319e-5,88.8899986875987,-56.36641913440223,4.553098093145416e-8,5.543844549349906e-9,0.0,0.0,-8979.0
t413,9410.011792223404,1.1474775835566997e-5,-42.24191173994653,90.87999858692424,-279.6498905961319,4.543303555030415e-8,5.540807295241213e-9,0.0,0.0,-9179.0
t414,9941.590052665095,1.551134779383699e-5,-3.653272504384062e-5,99.40999864162373,-3.0336414170913317e-5,4.5530982863757434e-8,5.5438445334767545e-9,0.0,0.0,-10041.0
t415,10529.508591261761,1178.4014222524675,-5.2169686003328465e-6,117.08999877351424,-7.122181925393637e-6,4.585381760478312e-8,5.553767830676965e-9,0.0,0.0,-11825.0
t416,15255.196904092612,2.6890149182290234e-6,-2306.2995287984813,98.27217292450024,-154.16955095654046,4.3415855227496393e-8,5.475377078569397e-9,0.0,0.0,-12893.0
t417,15658.788715869123,0.00010091557331902557,-2286.7709374450164,101.26241781751942,-152.2802972060921,4.341585384807639e-8,5.4753770160080554e-9,0.0,0.0,-13321.0
t418,15777.96086271627,0.0001009316052588734,-2090.556383704062,103.96223761337093,-139.36681760607664,4.341585399078969e-8,5.4753770093623375e-9,0.0,0.0,-13652.0
t419,16076.466876384742,0.00010093521019967522,-2063.173640900745,106.82058473756834,-131.1139212056662,4.341585427507342e-8,5.475377008101808e-9,0.0,0.0,-13989.0
t420,16219.257873659764,0.00010094144912152718,-2030.5773269554188,108.27825525962695,-124.95890295431214,4.3415854446166164e-8,5.475377008004154e-9,0.0,0.0,-14172.0
t421,16260.198732045566,0.00010094180320118141,-2028.2198337754432,108.21983219305693,-120.19883145386893,4.341585448698388e-8,5.475377007950116e-9,0.0,0.0,-14220.0
t422,16419.88462154727,0.00010094107488598162,-2028.8125518812942,108.75008447997067,-117.82225513590821,4.34158546407372e-8,5.4753770082805515e-9,0.0,0.0,-14382.0
t423,16416.745335499832,0.0001009423451665243,-2026.2180401579637,106.74218794411561,-119.26958427721588,4.341585463554097e-8,5.475377008165443e-9,0.0,0.0,-14378.0
t424,16419.684007266827,0.00010093889227912208,-2040.242978873533,104.73954755002318,-128.1806769311014,4.34158546313493e-8,5.475377008764006e-9,0.0,0.0,-14356.0
t425,16596.051939789497,0.0001009340318993911,-2208.749733318565,103.20218989974681,-158.50449735360382,4.341585465136148e-8,5.475377010245209e-9,0.0,0.0,-14332.0
t426,16506.04110225175,0.00010092295510497011,-2131.3870357495857,103.45145379511281,-204.10562126912043,4.341585491288645e-8,5.475377020947265e-9,0.0,0.0,-14274.0
t427,11361.725049747309,2623.414954974354,-3.456689446230301e-6,139.8599991246061,-8.580866873131216e-7,4.9750466634119856e-8,5.6637394554186906e-9,0.0,0.0,-14125.0
t428,11673.260727953808,2916.849276652517,-3.456583525361849e-6,145.88999923983152,-8.58085694624049e-7,4.975049094035092e-8,5.6637400732905086e-9,0.0,0.0,-14736.0
t429,11608.61196138866,2778.508041675324,-1.7053213903737235e-6,143.87999918947193,-8.58089170431356e-7,4.975047238952412e-8,5.663739593475629e-9,0.0,0.0,-14531.0
t430,11763.754809462333,1691.4051588256436,-3.5667234045711965e-5,134.05999537266544,-48.21992835750846,4.585385308106065e-8,5.553768847047744e-9,0.0,0.0,-13541.0
t431,11994.347058306666,82.45303768755036,-1.2688776173640276e-5,119.83999530861958,-91.64007866546706,4.585381111583421e-8,5.553767622110426e-9,0.0,0.0,-12105.0
