BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t22,9501.508965612145,3270.491034387854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,15147.491034387855,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,10484.277958005327,1830.1065381912638,-1440.3844961965901,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,9621.246154732984,1837.122439827435,-1433.3685945604188,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,11664.81877851487,558.3361279364921,-2712.154906451362,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,6537.646122113417,2998.4224561372184,-272.0685782506359,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,12478.491034387855,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,9682.068578250637,1499.2112280686126,-1771.2798063192495,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,10196.068578250635,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,10674.988132267006,1645.7514510604228,-1624.739583327431,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,8983.03847674056,2808.226278823648,-462.2647555642061,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,12456.815722680833,1459.3376558535106,-1811.1533785343433,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,13004.009525176922,1582.7407546054653,-1687.7502797823886,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,16752.49103438785,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,13993.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,13971.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,13883.068578250637,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,13840.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,14046.068578250633,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,15338.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,15684.014447954034,689.9855520459646,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,14580.910333967808,1649.089666032193,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,12567.508965612145,3270.491034387854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
