BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t37,13758.658774075308,15694.026470600491,-15753.6852446758,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,13074.189288175645,15992.261213550326,-15455.450501725967,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,28685.854958107506,8164.928378584392,-23282.7833366919,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,16390.10080127082,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,17682.10080127082,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,18990.10080127081,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,18846.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,13265.280611624665,17010.21555182581,-14437.496163450478,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,23001.92099091697,11821.39536217966,-19626.31635309663,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,9484.637745945953,18076.03698466517,-13371.674730611123,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,22876.56385659568,10755.573929340304,-20692.137785935985,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,4971.105851590444,19142.302931842925,-12305.408783433368,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,23126.095750951186,9689.307982162554,-21758.403733113737,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,604.8582105263158,20762.426752374984,-10685.284962901302,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,13615.871989908757,14166.919862683766,-17280.791852592527,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,16585.102938552594,12693.304388361848,-18754.407326914443,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,17300.09412688031,12524.308794197992,-18923.4029210783,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,12058.296505149228,15705.207605063531,-15742.504110212758,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,15960.676488238181,14745.017613519052,-16702.69410175724,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,10593.89224834687,17983.409733464712,-13464.30198181158,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,17208.537709396154,14770.08700294007,-16677.624712336223,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,34070.57699443894,6391.567360418676,-25056.144354857614,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,18160.100801270815,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,18186.10080127082,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,18123.100801270815,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,18101.100801270823,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,18042.10080127082,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,15915.618297430821,15585.546708922735,-15862.165006353554,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,4070.320736273837,22118.695489501228,-9329.016225775065,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,24543.774966268513,12549.468374503893,-18898.243340772402,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,17686.765388016767,15995.473163629762,-15452.238551646527,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,23214.16229504905,13078.774710113621,-18368.93700516267,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,17693.775152936923,15547.468281169684,-15900.243434106605,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,26683.281978883828,10541.214868196235,-20906.496847080056,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,26580.107595306807,9909.802059984742,-21537.90965529155,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,16372.100801270819,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,15628.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,15237.100801270819,14415.805457002745,-17031.906258273564,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,15038.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,15060.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,15400.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,783.6769924812029,22252.017361397542,-9195.694353878745,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
t79,21005.606882128348,13101.552416573973,-18346.159298702318,0.0,0.0,0.0,0.0,0.0,0.0,-15761.0
t80,19392.47668873437,14431.117513270961,-17016.59420200533,0.0,0.0,0.0,0.0,0.0,0.0,-16807.0
t81,14552.756213409008,16861.47775093364,-14586.23396434265,0.0,0.0,0.0,0.0,0.0,0.0,-16828.0
t82,27273.48276670992,10478.614474283191,-20969.097240993102,0.0,0.0,0.0,0.0,0.0,0.0,-16783.0
t83,29452.60526416205,9370.053225557118,-22077.65848971917,0.0,0.0,0.0,0.0,0.0,0.0,-16745.0
t84,18696.934455306862,14665.888629984714,-16781.823085291577,0.0,0.0,0.0,0.0,0.0,0.0,-16581.0
t85,17330.51680506697,2429.9105027002656,-3416.427307767236,0.0,0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,16275.170434347878,392.1787476044594,-463.34918195233854,0.0,0.0,0.0,0.0,0.0,0.0,-16204.0
t87,16076.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16076.0
t88,15048.953146810501,1193.0468531894999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16242.0
t89,7844.548791621571,9533.45120837843,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17378.0
t90,8558.591676523196,9743.408323476802,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18302.0
t91,13019.902231012678,5140.097768987325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18160.0
t92,14415.109375977865,3321.890624022132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17737.0
t93,17058.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17058.0
t94,15936.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15936.0
t95,15041.480038392781,0.0,-535.4800383927839,0.0,0.0,0.0,0.0,0.0,0.0,-14506.0
t96,13848.564693907356,0.0,-666.5646939073611,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t97,12336.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12336.0
t98,16595.362888428008,0.0,-4710.362888428009,0.0,0.0,0.0,0.0,0.0,0.0,-11885.0
t99,12387.209899307965,0.0,-731.209899307963,0.0,0.0,0.0,0.0,0.0,0.0,-11656.0
t100,13953.645971296452,0.0,-2338.64597129645,0.0,0.0,0.0,0.0,0.0,0.0,-11615.0
t101,14190.699234265256,0.0,-2277.6992342652597,0.0,0.0,0.0,0.0,0.0,0.0,-11913.0
t102,12890.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12890.0
t103,10725.214824923507,4021.7851750764917,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14747.0
t104,11399.204714916277,4435.795285083719,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15835.0
t105,14878.148009214214,1072.8519907857874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15951.0
t106,16021.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16021.0
t107,17456.18404447855,0.0,-1507.1840444785494,0.0,0.0,0.0,0.0,0.0,0.0,-15949.0
t108,19949.65139097798,1275.6805752466441,-5499.331966224625,0.0,0.0,0.0,0.0,0.0,0.0,-15726.0
t109,18756.872232198082,4654.634576212523,-7880.506808410607,0.0,0.0,0.0,0.0,0.0,0.0,-15531.0
