Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t159,421.212,0.0,0.0,0.0,0.0,0.421212
t160,425.66700000000003,0.0,0.0,0.0,0.0,0.425667
t161,456.852,0.0,0.0,0.0,0.0,0.456852
t162,488.103,0.0,0.0,0.0,0.0,0.488103
t163,482.39400000000006,0.0,0.0,0.0,0.0,0.48239400000000004
t164,466.917,0.0,0.0,0.0,0.0,0.46691699999999997
t165,452.232,0.0,0.0,0.0,0.0,0.452232
t166,431.07900000000006,0.0,0.0,0.0,0.0,0.43107900000000005
t167,403.39200000000005,0.0,0.0,0.0,0.0,0.40339200000000003
t168,372.966,0.0,0.0,0.0,0.0,0.372966
t169,376.92600000000004,0.0,0.0,0.0,0.0,0.37692600000000004
t170,365.673,0.0,0.0,0.0,0.0,0.365673
t171,361.845,0.0,0.0,0.0,0.0,0.361845
t172,362.142,0.0,0.0,0.0,0.0,0.362142
t173,367.026,0.0,0.0,0.0,0.0,0.367026
t174,378.312,0.0,0.0,0.0,0.0,0.37831200000000004
t175,396.561,0.0,0.0,0.0,0.0,0.396561
t176,416.7900000000001,0.0,0.0,0.0,0.0,0.41679000000000005
t177,445.2360000000001,0.0,0.0,0.0,0.0,0.4452360000000001
t178,465.76200000000006,0.0,0.0,0.0,0.0,0.46576200000000006
t179,475.89300000000003,0.0,0.0,0.0,0.0,0.475893
t180,478.10400000000004,0.0,0.0,0.0,0.0,0.47810400000000003
t181,476.091,0.0,0.0,0.0,0.0,0.476091
t182,470.90999999999997,0.0,0.0,0.0,0.0,0.47091
t183,465.76200000000006,0.0,0.0,0.0,0.0,0.46576200000000006
t184,468.336,0.0,0.0,0.0,0.0,0.46833600000000003
t185,488.16900000000004,0.0,0.0,0.0,0.0,0.488169
t186,533.478,0.0,0.0,0.0,0.0,0.533478
t187,551.7270000000001,0.0,0.0,0.0,0.0,0.5517270000000001
t188,542.256,0.0,0.0,0.0,0.0,0.542256
t189,523.281,0.0,0.0,0.0,0.0,0.523281
t190,491.931,0.0,0.0,0.0,0.0,0.491931
t191,456.15900000000005,0.0,0.0,0.0,0.0,0.45615900000000004
t192,422.16900000000004,0.0,0.0,0.0,0.0,0.422169
t193,399.10200000000003,0.0,0.0,0.0,0.0,0.399102
t194,387.783,0.0,0.0,0.0,0.0,0.387783
t195,383.2950000000001,0.0,0.0,0.0,0.0,0.38329500000000005
t196,384.25200000000007,0.0,0.0,0.0,0.0,0.38425200000000004
t197,395.47200000000004,0.0,0.0,0.0,0.0,0.39547200000000005
t198,429.19800000000004,0.0,0.0,0.0,0.0,0.429198
t199,490.77600000000007,0.0,0.0,0.0,0.0,0.49077600000000005
t200,520.839,0.0,0.0,0.0,0.0,0.520839
t201,523.116,0.0,0.0,0.0,0.0,0.523116
t202,519.9480000000001,0.0,0.0,0.0,0.0,0.5199480000000001
t203,516.879,0.0,0.0,0.0,0.0,0.516879
t204,512.2919999999999,0.0,0.0,0.0,0.0,0.512292
t205,502.557,0.0,0.0,0.0,0.0,0.502557
t206,495.033,0.0,0.0,0.0,0.0,0.495033
t207,486.057,0.0,0.0,0.0,0.0,0.486057
t208,482.856,0.0,0.0,0.0,0.0,0.482856
t209,494.373,0.0,0.0,0.0,0.0,0.494373
t210,3096.7444034677296,0.0,0.0,0.0,0.0,3.0967444034677296
t211,552.0240000000001,0.0,0.0,0.0,0.0,0.5520240000000001
t212,541.662,0.0,0.0,0.0,0.0,0.5416620000000001
t213,522.423,0.0,0.0,0.0,0.0,0.522423
t214,488.99399999999997,0.0,0.0,0.0,0.0,0.488994
t215,445.03800000000007,0.0,0.0,0.0,0.0,0.44503800000000004
t216,405.108,0.0,0.0,0.0,0.0,0.405108
t217,379.59900000000005,0.0,0.0,0.0,0.0,0.379599
t218,366.531,0.0,0.0,0.0,0.0,0.366531
t219,361.74600000000004,0.0,0.0,0.0,0.0,0.361746
t220,361.61400000000003,0.0,0.0,0.0,0.0,0.36161400000000005
t221,372.735,0.0,0.0,0.0,0.0,0.37273500000000004
t222,407.28600000000006,0.0,0.0,0.0,0.0,0.40728600000000004
t223,470.349,0.0,0.0,0.0,0.0,0.470349
t224,500.181,0.0,0.0,0.0,0.0,0.500181
t225,502.12800000000004,0.0,0.0,0.0,0.0,0.502128
t226,500.544,0.0,0.0,0.0,0.0,0.500544
t227,499.653,0.0,0.0,0.0,0.0,0.499653
t228,495.33,0.0,0.0,0.0,0.0,0.49533
t229,489.62100000000004,0.0,0.0,0.0,0.0,0.48962100000000003
t230,485.232,0.0,0.0,0.0,0.0,0.48523200000000005
t231,479.78700000000003,0.0,0.0,0.0,0.0,0.479787
t232,477.147,0.0,0.0,0.0,0.0,0.477147
t233,487.17900000000003,0.0,0.0,0.0,0.0,0.48717900000000003
t234,2086.836656808048,0.0,0.0,0.0,0.0,2.086836656808048
t235,1919.3828843676233,0.0,0.0,0.0,0.0,1.9193828843676233
t236,1811.4352470957106,0.0,0.0,0.0,0.0,1.8114352470957105
t237,504.966,0.0,0.0,0.0,0.0,0.504966
t238,471.86699999999996,0.0,0.0,0.0,0.0,0.471867
t239,428.604,0.0,0.0,0.0,0.0,0.428604
t240,390.291,0.0,0.0,0.0,0.0,0.390291
t241,364.254,0.0,0.0,0.0,0.0,0.364254
t242,350.32800000000003,0.0,0.0,0.0,0.0,0.35032800000000003
t243,343.563,0.0,0.0,0.0,0.0,0.343563
t244,342.87,0.0,0.0,0.0,0.0,0.34287
t245,352.374,0.0,0.0,0.0,0.0,0.352374
t246,387.22200000000004,0.0,0.0,0.0,0.0,0.387222
t247,449.55899999999997,0.0,0.0,0.0,0.0,0.449559
t248,482.889,0.0,0.0,0.0,0.0,0.482889
t249,489.4560000000001,0.0,0.0,0.0,0.0,0.48945600000000006
t250,491.07300000000004,0.0,0.0,0.0,0.0,0.49107300000000004
t251,492.45900000000006,0.0,0.0,0.0,0.0,0.49245900000000004
t252,490.281,0.0,0.0,0.0,0.0,0.490281
t253,484.473,0.0,0.0,0.0,0.0,0.484473
t254,481.70099999999996,0.0,0.0,0.0,0.0,0.481701
t255,476.223,0.0,0.0,0.0,0.0,0.476223
t256,474.37500000000006,0.0,0.0,0.0,0.0,0.47437500000000005
t257,486.12300000000005,0.0,0.0,0.0,0.0,0.486123
t258,1727.4558425001967,0.0,0.0,0.0,0.0,1.7274558425001967
t259,1567.9879948334215,0.0,0.0,0.0,0.0,1.5679879948334214
t260,2009.0348355154167,0.0,0.0,0.0,0.0,2.0090348355154166
t261,499.05899999999997,0.0,0.0,0.0,0.0,0.499059
t262,465.795,0.0,0.0,0.0,0.0,0.465795
t263,422.004,0.0,0.0,0.0,0.0,0.42200400000000005
t264,382.041,0.0,0.0,0.0,0.0,0.382041
t265,357.819,0.0,0.0,0.0,0.0,0.357819
t266,344.949,0.0,0.0,0.0,0.0,0.344949
