Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,430,13541.0
,,,,,,,431,12105.0
,,,,,,,432,10834.0
,,,,,,,433,10013.0
,,,,,,,434,9503.0
,,,,,,,435,9187.0
,,,,,,,436,9086.0
,,,,,,,437,9279.0
,,,,,,,438,10090.0
,,,,,,,439,11776.0
,,,,,,,440,12853.0
,,,,,,,441,13274.0
,,,,,,,442,13551.0
,,,,,,,443,13791.0
,,,,,,,444,13857.0
,,,,,,,445,13748.0
,,,,,,,446,13781.0
,,,,,,,447,13655.0
,,,,,,,448,13491.0
,,,,,,,449,13401.0
,,,,,,,450,13254.0
,,,,,,,451,12993.0
,,,,,,,452,13536.0
,,,,,,,453,13286.0
,,,,,,,454,12517.0
,,,,,,,455,11478.0
,,,,,,,456,10381.0
,,,,,,,457,9549.0
,,,,,,,458,9030.0
,,,,,,,459,8735.0
,,,,,,,460,8579.0
,,,,,,,461,8592.0
,,,,,,,462,8880.0
,,,,,,,463,9470.0
,,,,,,,464,10176.0
,,,,,,,465,11146.0
,,,,,,,466,11838.0
,,,,,,,467,12142.0
,,,,,,,468,12199.0
,,,,,,,469,12062.0
,,,,,,,470,11820.0
,,,,,,,471,11624.0
,,,,,,,472,11531.0
,,,,,,,473,11611.0
,,,,,,,474,11905.0
,,,,,,,475,12204.0
,,,,,,,476,12690.0
,,,,,,,477,12458.0
,,,,,,,478,11820.0
,,,,,,,479,10962.0
,,,,,,,480,10076.0
,,,,,,,481,9344.0
,,,,,,,482,8859.0
,,,,,,,483,8615.0
,,,,,,,484,8495.0
,,,,,,,485,8517.0
,,,,,,,486,8710.0
,,,,,,,487,9166.0
,,,,,,,488,9784.0
,,,,,,,489,10760.0
,,,,,,,490,11602.0
,,,,,,,491,12129.0
,,,,,,,492,12438.0
,,,,,,,493,12543.0
,,,,,,,494,12419.0
,,,,,,,495,12279.0
,,,,,,,496,12184.0
,,,,,,,497,12357.0
,,,,,,,498,12702.0
,,,,,,,499,12990.0
,,,,,,,500,13530.0
,,,,,,,501,13255.0
,,,,,,,502,12332.0
,,,,,,,503,11219.0
,,,,,,,504,10187.0
,,,,,,,505,9355.0
,,,,,,,506,9042.0
,,,,,,,507,8926.0
,,,,,,,508,8932.0
,,,,,,,509,9258.0
,,,,,,,510,10292.0
,,,,,,,511,11981.0
,,,,,,,512,13117.0
,,,,,,,513,13520.0
,,,,,,,514,13689.0
,,,,,,,515,13843.0
,,,,,,,516,13844.0
,,,,,,,517,13732.0
,,,,,,,518,13629.0
,,,,,,,519,13408.0
,,,,,,,520,13255.0
,,,,,,,521,13257.0
,,,,,,,522,13412.0
