BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t84,22304.67700222025,1424.3489611820603,-7148.025963402313,0.0,0.0,0.0,0.0,0.0,0.0,-16581.0
t85,19634.08219680274,2641.146363890817,-5931.228560693557,0.0,0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,18916.189179499906,2930.092872542234,-5642.282052042139,0.0,0.0,0.0,0.0,0.0,0.0,-16204.0
t87,16076.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16076.0
t88,15697.405403615143,544.5945963848579,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16242.0
t89,9055.236878601005,8322.763121398995,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17378.0
t90,9729.625075415628,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18302.0
t91,14509.876033284632,3650.123966715368,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18160.0
t92,15987.359777513544,1749.6402224864535,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17737.0
t93,17058.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17058.0
t94,15936.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15936.0
t95,14566.748905947537,0.0,-60.74890594753693,0.0,0.0,0.0,0.0,0.0,0.0,-14506.0
t96,13301.00585723199,0.0,-119.00585723198911,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t97,11975.782595293158,360.21740470684273,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12336.0
t98,16262.123443193303,0.0,-4377.123443193304,0.0,0.0,0.0,0.0,0.0,0.0,-11885.0
t99,11749.405713510814,0.0,-93.40571351081462,0.0,0.0,0.0,0.0,0.0,0.0,-11656.0
t100,13430.567003604374,0.0,-1815.5670036043743,0.0,0.0,0.0,0.0,0.0,0.0,-11615.0
t101,13681.71797228226,0.0,-1768.7179722822598,0.0,0.0,0.0,0.0,0.0,0.0,-11913.0
t102,12890.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12890.0
t103,9161.398230358443,5585.601769641558,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14747.0
t104,9934.758922534274,5900.241077465727,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15835.0
t105,13443.944766773839,2507.0552332261623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15951.0
t106,16021.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16021.0
t107,19859.04686565747,0.0,-3910.046865657472,0.0,0.0,0.0,0.0,0.0,0.0,-15949.0
t108,23287.55959191142,505.4076663364766,-8066.967258247896,0.0,0.0,0.0,0.0,0.0,0.0,-15726.0
t109,21748.921832263328,1177.226546160524,-7395.14837842385,0.0,0.0,0.0,0.0,0.0,0.0,-15531.0
t110,24027.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-15455.0
t111,11594.264055870584,6155.555434356895,-2416.8194902274786,0.0,0.0,0.0,0.0,0.0,0.0,-15333.0
t112,16665.75468015592,3669.310122214228,-4903.064802370145,0.0,0.0,0.0,0.0,0.0,0.0,-15432.0
t113,24879.86046897794,52.257227803218065,-8520.117696781157,0.0,0.0,0.0,0.0,0.0,0.0,-16412.0
t114,23314.456707495592,1371.459108544391,-7200.915816039982,0.0,0.0,0.0,0.0,0.0,0.0,-17485.0
t115,18135.126510190727,3929.6242071968236,-4642.750717387551,0.0,0.0,0.0,0.0,0.0,0.0,-17422.0
t116,16268.565444201706,757.4345557982931,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17026.0
t117,16390.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16390.0
t118,7585.055935966218,7754.9440640337825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15340.0
t119,13927.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13927.0
