Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,498,12702.0
,,,,,,,499,12990.0
,,,,,,,500,13530.0
,,,,,,,501,13255.0
,,,,,,,502,12332.0
,,,,,,,503,11219.0
,,,,,,,504,10187.0
,,,,,,,505,9355.0
,,,,,,,506,9042.0
,,,,,,,507,8926.0
,,,,,,,508,8932.0
,,,,,,,509,9258.0
,,,,,,,510,10292.0
,,,,,,,511,11981.0
,,,,,,,512,13117.0
,,,,,,,513,13520.0
,,,,,,,514,13689.0
,,,,,,,515,13843.0
,,,,,,,516,13844.0
,,,,,,,517,13732.0
,,,,,,,518,13629.0
,,,,,,,519,13408.0
,,,,,,,520,13255.0
,,,,,,,521,13257.0
,,,,,,,522,13412.0
,,,,,,,523,13544.0
,,,,,,,524,14116.0
,,,,,,,525,14140.0
,,,,,,,526,13160.0
,,,,,,,527,11819.0
,,,,,,,528,10573.0
,,,,,,,529,9824.0
,,,,,,,530,9447.0
,,,,,,,531,9275.0
,,,,,,,532,9261.0
,,,,,,,533,9580.0
,,,,,,,534,10575.0
,,,,,,,535,12217.0
,,,,,,,536,13246.0
,,,,,,,537,13452.0
,,,,,,,538,13538.0
,,,,,,,539,13627.0
,,,,,,,540,13594.0
,,,,,,,541,13513.0
,,,,,,,542,13479.0
,,,,,,,543,13297.0
,,,,,,,544,13141.0
,,,,,,,545,13163.0
,,,,,,,546,13268.0
,,,,,,,547,13359.0
,,,,,,,548,13951.0
,,,,,,,549,14004.0
,,,,,,,550,13046.0
,,,,,,,551,11702.0
,,,,,,,552,10489.0
,,,,,,,553,9741.0
,,,,,,,554,9354.0
,,,,,,,555,9182.0
,,,,,,,556,9182.0
,,,,,,,557,9488.0
,,,,,,,558,10483.0
,,,,,,,559,12145.0
,,,,,,,560,13257.0
,,,,,,,561,13536.0
,,,,,,,562,13583.0
,,,,,,,563,13647.0
,,,,,,,564,13611.0
,,,,,,,565,13475.0
,,,,,,,566,13413.0
,,,,,,,567,13255.0
,,,,,,,568,13117.0
,,,,,,,569,13150.0
,,,,,,,570,13291.0
,,,,,,,571,13426.0
,,,,,,,572,14026.0
,,,,,,,573,14025.0
,,,,,,,574,13093.0
,,,,,,,575,11784.0
,,,,,,,576,10587.0
,,,,,,,577,9808.0
,,,,,,,578,9399.0
,,,,,,,579,9212.0
,,,,,,,580,9207.0
,,,,,,,581,9493.0
,,,,,,,582,10499.0
,,,,,,,583,12136.0
,,,,,,,584,13192.0
,,,,,,,585,13461.0
,,,,,,,586,13540.0
,,,,,,,587,13586.0
,,,,,,,588,13597.0
,,,,,,,589,13544.0
,,,,,,,590,13530.0
,,,,,,,591,13367.0
,,,,,,,592,13242.0
,,,,,,,593,13282.0
,,,,,,,594,13438.0
,,,,,,,595,13479.0
,,,,,,,596,13967.0
,,,,,,,597,14039.0
,,,,,,,598,13185.0
,,,,,,,599,11917.0
,,,,,,,600,10703.0
,,,,,,,601,9941.0
,,,,,,,602,9561.0
,,,,,,,603,9378.0
,,,,,,,604,9379.0
,,,,,,,605,9671.0
,,,,,,,606,10637.0
,,,,,,,607,12210.0
,,,,,,,608,13232.0
,,,,,,,609,13433.0
,,,,,,,610,13504.0
,,,,,,,611,13567.0
,,,,,,,612,13479.0
,,,,,,,613,13325.0
,,,,,,,614,13237.0
,,,,,,,615,13034.0
,,,,,,,616,12799.0
,,,,,,,617,12697.0
,,,,,,,618,12626.0
,,,,,,,619,12520.0
,,,,,,,620,12946.0
,,,,,,,621,13195.0
,,,,,,,622,12509.0
,,,,,,,623,11485.0
,,,,,,,624,10380.0
,,,,,,,625,9605.0
,,,,,,,626,9153.0
,,,,,,,627,8896.0
,,,,,,,628,8842.0
,,,,,,,629,8941.0
,,,,,,,630,9325.0
,,,,,,,631,9817.0
,,,,,,,632,10702.0
,,,,,,,633,11487.0
,,,,,,,634,11969.0
,,,,,,,635,12159.0
,,,,,,,636,12109.0
,,,,,,,637,11931.0
,,,,,,,638,11711.0
,,,,,,,639,11519.0
,,,,,,,640,11451.0
,,,,,,,641,11497.0
,,,,,,,642,11641.0
,,,,,,,643,11711.0
,,,,,,,644,12162.0
,,,,,,,645,12371.0
,,,,,,,646,11763.0
,,,,,,,647,10854.0
,,,,,,,648,9941.0
,,,,,,,649,9213.0
,,,,,,,650,8755.0
,,,,,,,651,8487.0
,,,,,,,652,8382.0
